"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"1433",28,1,0,1,0,11,4559890,0,6,1,0,2166666.66666667,40,7,39,4,1,1,0,0,5,2e+06,11666.6669921875,2,2,2,2,9.36449107970523,14.5086577385242
"1434",20,1,1,2,0,11,4559892,0,3,0,0,1e+06,36,6,37,3,1,1,1,1,2,1e+06,6481.4814453125,2,2,2,2,8.77670438132096,13.8155105579643
"1435",50,1,0,1,0,11,4559894,0,3,1,0,1609000,72,5,98,1,1,1,1,1,2,1500000,4861.111328125,2,2,1,2,8.4890223590924,14.2209756660724
"1436",62,1,1,1,0,11,4559896,0,3,1,0,1008806.66666667,54,6,39,1,1,1,1,0,5,8e+05,3456.7900390625,2,1,2,2,8.14809570306489,13.5923670066501
"1437",27,1,0,1,0,11,4559896,0,3,1,0,1565473.33333333,48,7,33,3,1,1,0,0,5,1150000,5590.27783203125,2,1,2,2,8.62878426652967,13.9552725003394
"1438",47,1,1,2,0,11,4559901,0,3,0,0,1038000,60,6,97,2,1,3,1,0,3,750000,2916.66674804688,2,2,2,2,7.97819671858534,13.5278284855125
"1439",43,1,1,2,0,11,4559901,0,3,0,0,1085908.66666667,42,6,51,1,1,3,0,0,3,781242,4340.2333984375,2,2,2,2,8.37568340409026,13.5686402399803
"1440",69,1,0,3,0,11,4559902,0,3,1,0,3675000,42,7,39,1,1,1,1,0,4,2100000,11666.6669921875,2,2,2,2,9.36449107970523,14.5574479026937
"1441",21,1,0,1,0,11,4559903,0,3,1,0,929473.333333333,48,7,3,1,1,1,1,0,4,789000,3835.41674804688,2,1,2,2,8.25203337753137,13.578521599828
"1442",45,1,0,1,0,11,4559903,0,3,1,0,838333.333333333,48,7,39,2,1,1,1,0,5,780000,3791.66674804688,2,1,2,2,8.24056097661395,13.5670491986658
"1443",60,1,1,1,0,11,4559905,0,3,1,0,1566544.33333333,45,6,33,2,1,1,0,0,4,1370000,7103.70361328125,2,1,2,2,8.86837156269823,14.1303212978043
"1444",40,1,0,1,0,11,4559906,0,3,1,0,2600000,48,7,39,3,1,1,1,0,5,2500000,12152.77734375,2,2,2,2,9.40531301060941,14.7318012898384
"1445",26,1,0,1,0,11,4559907,0,3,1,0,888211,48,7,33,2,1,1,1,0,5,8e+05,3888.88891601562,2,1,2,2,8.26587877011078,13.5923670066501
